Id;Floor;HouseFloor;HouseYear;house_fl_good;house_fl_nonan;house_hy_good
2876;3;25;2018;1;1;0
634;16;25;2013;1;1;0
13216;6;25;2015;1;1;0
840;13;24;2014;1;1;0
15036;9;25;2017;1;1;0
8619;23;25;2008;1;1;0
15246;12;24;2017;1;1;0
14977;25;25;2008;1;1;0
10537;15;25;2016;1;1;0
3091;9;25;2015;1;0;0
2885;5;25;2019;1;1;0
8218;8;24;2017;1;1;0
10607;7;25;2015;1;1;0
6440;21;25;2014;1;1;0
10391;21;25;2007;1;1;0
9801;14;25;2018;1;1;0
16169;19;25;2015;1;1;0
4299;22;24;2007;0;1;0
15420;9;25;2015;1;1;0
16273;6;25;2017;1;1;0
1099;6;25;2013;1;1;0
7190;23;25;2016;1;1;0
11734;10;24;2014;1;1;0
10238;21;25;2015;1;1;0
1673;14;25;2012;1;1;0
2379;16;25;2016;1;1;0
11126;5;25;2013;1;1;0
12584;12;25;2014;1;1;0
16779;22;25;2013;1;1;0
10193;24;26;2002;0;1;0
13617;24;25;2007;0;1;0
7283;21;24;2016;1;1;0
12264;20;25;2017;1;1;0
1387;23;25;2017;0;1;0
2769;17;25;2018;1;1;0
12643;6;25;2017;1;1;0
3761;9;25;2014;1;1;0
11041;25;25;2014;1;0;0
1636;24;26;2014;0;1;0
285;12;25;2017;1;1;0
5563;25;25;2015;1;1;0
1445;25;25;2013;1;1;0
14545;14;25;2017;1;1;0
13202;1;26;2014;0;1;0
4511;24;25;2015;1;1;0
10229;16;24;2006;1;1;0
11585;18;25;2015;1;1;0
1090;20;25;2015;1;1;0
6056;12;25;2014;1;1;0
7862;25;26;2013;0;0;0
9538;7;25;2017;1;1;0
13897;9;25;2013;1;1;0
2686;4;25;2015;1;1;0
7198;21;25;2010;1;0;0
9016;19;25;2017;1;1;0
2487;21;24;2015;1;1;0
3599;19;25;2015;1;1;0
6499;4;25;2015;1;1;0
16183;9;24;2016;1;1;0
1554;4;25;2015;1;1;0
16179;17;25;2015;1;1;0
10990;6;17;1977;1;1;0
12037;9;25;2019;1;1;0
6791;4;24;2015;1;1;0
9245;4;24;2014;1;1;0
15100;4;25;2018;1;1;0
11792;21;25;2014;1;1;0
2903;23;24;2010;1;1;0
7976;16;25;2017;1;1;0
4985;4;25;2017;1;1;0
310;18;25;2013;1;1;0
3704;7;24;2018;1;1;0
6605;25;25;2015;1;1;0
13230;12;24;2014;1;1;0
4646;24;25;2015;1;1;0
13734;4;24;2006;1;1;0
37;23;25;2015;1;1;0
7467;22;25;2015;1;1;0
10865;24;24;2007;1;1;0
16117;22;24;2020;0;1;0
8133;10;24;2010;1;1;0
15864;18;25;2013;0;1;0
8069;20;25;2015;1;1;0
16545;14;25;2018;1;1;0
11106;6;25;2014;1;1;0
10488;19;25;2015;1;1;0
172;9;25;2017;1;1;0
9405;25;25;2015;1;1;0
10691;19;25;2015;1;1;0
3289;17;26;2016;0;0;0
13553;23;24;2016;1;1;0
6245;8;25;2007;1;1;0
12713;25;26;2017;0;1;0
3990;11;25;2015;1;1;0
10571;1;24;2011;0;1;0
12838;18;25;2017;1;1;0
3806;12;24;2007;1;1;0
7512;25;26;2007;0;1;0
7221;21;25;2008;1;1;0
10720;20;24;2007;1;1;0
16786;7;25;2015;1;1;0
1052;6;25;2016;1;1;0
11584;25;26;2014;0;1;0
6897;24;26;2014;0;1;0
7843;11;24;2016;1;1;0
11259;12;25;2017;1;1;0
3686;1;24;2007;0;1;0
4392;18;24;2010;1;1;0
8883;14;25;2015;1;1;0
6064;13;24;2015;1;1;0
12609;12;25;2015;1;1;0
537;11;24;2014;1;1;0
5509;23;25;2015;1;1;0
2850;25;25;2019;1;1;0
11604;15;24;2018;1;1;0
511;17;25;2017;1;1;0
13261;23;24;2020;1;1;0
11772;20;25;2016;1;1;0
4803;6;25;2016;1;1;0
12309;17;25;2015;0;0;0
14130;19;25;2001;1;1;0
4030;9;25;2018;1;1;0
9553;17;24;2016;1;1;0
1359;20;25;2007;1;1;0
7428;11;24;2017;1;1;0
4129;18;24;2014;1;1;0
1735;4;24;2019;1;1;0
11165;20;25;2014;1;1;0
14040;25;25;2015;1;1;0
11920;3;25;2011;1;1;0
13257;15;25;2015;1;1;0
15988;15;24;2007;1;1;0
8919;22;24;2007;1;1;0
4428;14;25;2015;1;1;0
5912;12;24;2007;1;1;0
11189;22;25;2015;1;1;0
11547;20;25;2016;1;1;0
591;20;25;2013;1;1;0
11462;23;24;2007;1;1;0
15719;14;25;2015;1;1;0
1158;11;24;2017;1;1;0
11906;22;24;2015;1;1;0
16231;14;25;2017;1;1;0
7582;9;24;2017;1;1;0
7264;25;26;2013;0;1;0
2168;23;25;2015;1;1;0
2770;9;25;2017;1;1;0
3946;22;24;2017;1;1;0
14764;21;25;2015;1;1;0
13554;19;25;2015;1;1;0
4089;23;25;2015;1;1;0
7529;25;25;2015;1;1;0
10301;4;24;2017;1;1;0
14057;25;25;2018;1;1;0
5839;25;25;2015;1;1;0
4270;8;24;2006;1;1;0
6449;14;24;2017;1;1;0
7813;5;14;1974;1;1;0
3389;28;31;2013;1;1;0
7306;14;25;2019;1;1;0
13600;14;17;1977;1;1;0
9330;5;25;2015;1;1;0
2308;16;24;2007;1;1;0
6505;23;25;2019;1;1;0
13224;8;25;2019;1;1;0
13954;5;25;2015;1;1;0
8792;9;26;2005;0;1;0
12958;25;25;2015;1;1;0
15970;4;25;2018;1;1;0
9515;24;25;2018;1;1;0
7724;24;25;2017;1;1;0
14089;14;24;2016;1;1;0
5298;6;24;2014;1;1;0
12094;5;25;2015;1;1;0
4830;5;25;2018;1;1;0
2161;7;25;2009;1;1;0
7239;23;25;2015;1;1;0
15771;22;25;2015;1;1;0
6290;25;27;2003;0;1;0
11732;17;24;2014;1;1;0
1633;10;25;2014;1;1;0
15419;19;25;2015;1;1;0
9621;2;25;2015;1;1;0
11509;25;26;2007;0;1;0
4562;19;25;2016;1;1;0
5312;6;25;2015;1;1;0
6909;15;24;2020;1;1;0
13475;18;24;2007;1;1;0
3540;20;24;2019;1;0;0
13845;17;25;2015;1;1;0
7169;10;25;2015;1;1;0
7338;10;25;2015;1;1;0
14869;23;25;2014;1;1;0
15581;3;25;2017;1;1;0
15565;6;25;2017;1;1;0
15984;14;25;2015;1;1;0
6274;25;26;2007;0;1;0
15243;20;24;2018;1;0;0
14676;18;25;2017;1;1;0
